id,id_potraviny,baleni,id_domacnost
1,14,1,1
2,23,1,1
3,32,1,1
4,136,1,1
5,137,1,1
6,141,1,1
7,142,1,1
8,777,1,1
9,778,1,1
10,779,1,1
11,780,1,1
12,781,1,1
13,782,1,1
14,783,1,1
15,784,1,1
16,785,1,1
17,786,1,1
18,787,1,1
19,788,1,1
20,789,1,1
21,790,1,1
22,791,1,1
23,792,1,1
24,793,1,1
25,794,1,1
26,795,1,1
27,796,1,1
28,797,1,1
29,798,1,1
30,799,1,1
31,800,1,1
32,801,1,1
33,802,1,1
34,804,1,1
35,805,1,1
36,806,1,1
37,807,1,1
38,808,1,1
39,809,1,1
40,138,2,1
41,139,2,1
42,140,2,1
43,143,2,1
44,150,3,1
45,249,10,1
46,250,10,1
47,251,10,1
48,709,15,1
49,218,20,1
50,754,45,1
51,6,50,1
52,319,50,1
53,736,50,1
54,737,50,1
55,13,70,1
56,210,70,1
57,324,70,1
58,327,70,1
59,361,70,1
60,362,70,1
61,488,70,1
62,731,70,1
63,732,70,1
64,733,70,1
65,739,70,1
66,752,70,1
67,12,75,1
68,158,75,1
69,232,75,1
70,756,75,1
71,146,80,1
72,230,80,1
73,288,80,1
74,289,80,1
75,470,80,1
76,522,80,1
77,562,80,1
78,722,80,1
79,734,80,1
80,211,85,1
81,344,85,1
82,735,85,1
83,601,90,1
84,8,100,1
85,144,100,1
86,184,100,1
87,201,100,1
88,215,100,1
89,317,100,1
90,326,100,1
91,331,100,1
92,332,100,1
93,343,100,1
94,462,100,1
95,520,100,1
96,558,100,1
97,719,100,1
98,726,100,1
99,749,100,1
100,750,100,1
101,145,120,1
102,205,120,1
103,248,120,1
104,345,120,1
105,363,120,1
106,504,120,1
107,724,120,1
108,346,125,1
109,11,150,1
110,90,150,1
111,91,150,1
112,112,150,1
113,171,150,1
114,233,150,1
115,276,150,1
116,278,150,1
117,279,150,1
118,312,150,1
119,316,150,1
120,323,150,1
121,328,150,1
122,371,150,1
123,384,150,1
124,511,150,1
125,514,150,1
126,552,150,1
127,559,150,1
128,587,150,1
129,702,150,1
130,703,150,1
131,708,150,1
132,710,150,1
133,711,150,1
134,717,150,1
135,718,150,1
136,725,150,1
137,729,150,1
138,741,150,1
139,761,150,1
140,213,175,1
141,21,200,1
142,85,200,1
143,111,200,1
144,157,200,1
145,208,200,1
146,228,200,1
147,240,200,1
148,294,200,1
149,315,200,1
150,318,200,1
151,333,200,1
152,377,200,1
153,378,200,1
154,393,200,1
155,402,200,1
156,434,200,1
157,457,200,1
158,503,200,1
159,507,200,1
160,534,200,1
161,544,200,1
162,545,200,1
163,571,200,1
164,647,200,1
165,688,200,1
166,694,200,1
167,695,200,1
168,713,200,1
169,748,200,1
170,772,200,1
171,246,220,1
172,271,220,1
173,334,230,1
174,335,240,1
175,168,250,1
176,209,250,1
177,214,250,1
178,241,250,1
179,285,250,1
180,286,250,1
181,297,250,1
182,307,250,1
183,348,250,1
184,356,250,1
185,358,250,1
186,359,250,1
187,365,250,1
188,366,250,1
189,367,250,1
190,368,250,1
191,369,250,1
192,372,250,1
193,380,250,1
194,381,250,1
195,382,250,1
196,383,250,1
197,421,250,1
198,424,250,1
199,435,250,1
200,441,250,1
201,447,250,1
202,471,250,1
203,474,250,1
204,475,250,1
205,531,250,1
206,535,250,1
207,664,250,1
208,689,250,1
209,690,250,1
210,692,250,1
211,693,250,1
212,696,250,1
213,698,250,1
214,714,250,1
215,715,250,1
216,742,250,1
217,745,250,1
218,758,250,1
219,767,250,1
220,774,250,1
221,169,300,1
222,173,300,1
223,217,300,1
224,239,300,1
225,243,300,1
226,262,300,1
227,270,300,1
228,272,300,1
229,347,300,1
230,357,300,1
231,385,300,1
232,396,300,1
233,461,300,1
234,465,300,1
235,494,300,1
236,498,300,1
237,510,300,1
238,513,300,1
239,551,300,1
240,561,300,1
241,577,300,1
242,609,300,1
243,650,300,1
244,653,300,1
245,673,300,1
246,687,300,1
247,744,300,1
248,759,300,1
249,760,300,1
250,187,350,1
251,197,350,1
252,268,350,1
253,374,350,1
254,375,350,1
255,403,350,1
256,409,350,1
257,425,350,1
258,476,350,1
259,479,350,1
260,501,350,1
261,506,350,1
262,529,350,1
263,586,350,1
264,590,350,1
265,630,350,1
266,691,350,1
267,177,400,1
268,244,400,1
269,287,400,1
270,299,400,1
271,325,400,1
272,370,400,1
273,373,400,1
274,376,400,1
275,394,400,1
276,397,400,1
277,398,400,1
278,478,400,1
279,495,400,1
280,499,400,1
281,500,400,1
282,509,400,1
283,515,400,1
284,538,400,1
285,578,400,1
286,582,400,1
287,625,400,1
288,635,400,1
289,645,400,1
290,652,400,1
291,654,400,1
292,661,400,1
293,670,400,1
294,747,400,1
295,757,400,1
296,631,420,1
297,189,450,1
298,216,450,1
299,269,450,1
300,360,450,1
301,392,450,1
302,428,450,1
303,527,450,1
304,539,450,1
305,553,450,1
306,563,450,1
307,622,450,1
308,634,450,1
309,649,450,1
310,659,450,1
311,18,500,1
312,19,500,1
313,52,500,1
314,182,500,1
315,220,500,1
316,303,500,1
317,352,500,1
318,353,500,1
319,354,500,1
320,355,500,1
321,389,500,1
322,390,500,1
323,401,500,1
324,406,500,1
325,408,500,1
326,413,500,1
327,416,500,1
328,418,500,1
329,440,500,1
330,444,500,1
331,456,500,1
332,464,500,1
333,481,500,1
334,492,500,1
335,496,500,1
336,516,500,1
337,518,500,1
338,521,500,1
339,567,500,1
340,614,500,1
341,616,500,1
342,629,500,1
343,633,500,1
344,642,500,1
345,658,500,1
346,662,500,1
347,665,500,1
348,680,500,1
349,683,500,1
350,685,500,1
351,697,500,1
352,720,500,1
353,255,520,1
354,191,550,1
355,483,550,1
356,190,600,1
357,225,600,1
358,523,600,1
359,530,600,1
360,591,600,1
361,623,600,1
362,627,600,1
363,628,600,1
364,638,600,1
365,641,600,1
366,644,600,1
367,497,650,1
368,548,650,1
369,574,650,1
370,579,650,1
371,583,650,1
372,612,650,1
373,613,650,1
374,648,650,1
375,655,650,1
376,686,650,1
377,17,700,1
378,163,750,1
379,222,750,1
380,277,750,1
381,404,750,1
382,415,750,1
383,419,750,1
384,455,750,1
385,486,750,1
386,568,750,1
387,570,750,1
388,606,750,1
389,581,800,1
390,599,800,1
391,632,800,1
392,646,800,1
393,595,850,1
394,165,1000,1
395,301,1000,1
396,388,1000,1
397,420,1000,1
398,443,1000,1
399,446,1000,1
400,448,1000,1
401,493,1000,1
402,528,1000,1
403,572,1000,1
404,593,1000,1
405,597,1200,1
406,607,1200,1
407,598,1300,1
408,304,1500,1
409,407,1500,1
410,414,1500,1
411,519,1500,1
412,566,1500,1
413,427,2000,1
414,721,2505,1
415,253,3660,1
